PFAS,tissue,toadID,day,concentration_ug_per_kg
8:2 FTS,wholebody,22-0201,0,0
8:2 FTS,wholebody,22-0209,0,0
8:2 FTS,wholebody,22-0210,0,0
8:2 FTS,wholebody,22-0213,0,0
8:2 FTS,wholebody,22-0230,0,0
8:2 FTS,wholebody,22-0231,0,0
8:2 FTS,wholebody,22-0246,0,0
8:2 FTS,wholebody,22-0247,0,0
8:2 FTS,wholebody,22-0237,0,0
8:2 FTS,wholebody,22-0197,7,23.38
8:2 FTS,wholebody,22-0212,7,49.84
8:2 FTS,wholebody,22-0214,7,85.14
8:2 FTS,wholebody,22-0232,7,20.67
8:2 FTS,wholebody,22-0234,7,16.96
8:2 FTS,wholebody,22-0249,7,36.62
8:2 FTS,wholebody,22-0200,14,21.23
8:2 FTS,wholebody,22-0215,14,22.46
8:2 FTS,wholebody,22-0216,14,176.17
8:2 FTS,wholebody,22-0233,14,12.81
8:2 FTS,wholebody,22-0250,14,41.21
8:2 FTS,wholebody,22-0202,21,37.85
8:2 FTS,wholebody,22-0217,21,21.99
8:2 FTS,wholebody,22-0218,21,75.46
8:2 FTS,wholebody,22-0235,21,22.52
8:2 FTS,wholebody,22-0240,21,21.63
8:2 FTS,wholebody,22-0251,21,37.8
8:2 FTS,wholebody,22-0203,28,67.69
8:2 FTS,wholebody,22-0219,28,67.2
8:2 FTS,wholebody,22-0221,28,30.51
8:2 FTS,wholebody,22-0236,28,32.5
8:2 FTS,wholebody,22-0241,28,18.76
8:2 FTS,wholebody,22-0252,28,65.73
8:2 FTS,wholebody,22-0182,35,17.62
8:2 FTS,wholebody,22-0220,35,4.79
8:2 FTS,wholebody,22-0224,35,38.3
8:2 FTS,wholebody,22-0238,35,12.32
8:2 FTS,wholebody,22-0253,35,11.92
8:2 FTS,wholebody,22-0255,35,52.14
8:2 FTS,wholebody,22-0183,42,12.32
8:2 FTS,wholebody,22-0206,42,0
8:2 FTS,wholebody,22-0222,42,18.33
8:2 FTS,wholebody,22-0225,42,17.16
8:2 FTS,wholebody,22-0254,42,17.59
8:2 FTS,wholebody,22-0186,49,3.94
8:2 FTS,wholebody,22-0205,49,13.52
8:2 FTS,wholebody,22-0207,49,4.49
8:2 FTS,wholebody,22-0223,49,36.28
8:2 FTS,wholebody,22-0226,49,9.86
8:2 FTS,wholebody,22-0244,49,4.56
8:2 FTS,wholebody,22-0187,56,16.52
8:2 FTS,wholebody,22-0208,56,8.07
8:2 FTS,wholebody,22-0228,56,3.35
8:2 FTS,wholebody,22-0229,56,4.06
8:2 FTS,wholebody,22-0245,56,1.23
8:2 FTS,wholebody,22-0256,56,0
